nCH	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6		Pulse	Threshold
 [04]	00306	00654	00695	00613	01000	01000		00048	-2924
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3200
 [04]	00306	00654	00695	00613	01000	01000		00046	-2485
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2695
 [04]	00306	00654	00695	00613	01000	01000		00049	-2313
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2607
 [04]	00306	00654	00695	00613	01000	01000		00666	-2575
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3569
 [04]	00306	00654	00695	00613	01000	01000		00066	-3130
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3356
 [04]	00306	00654	00695	00613	01000	01000		00048	-2738
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3365
 [04]	00306	00654	00695	00613	01000	01000		00047	-2903
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3166
 [04]	00306	00654	00695	00613	01000	01000		00050	-2764
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3083
 [04]	00306	00654	00695	00613	01000	01000		00666	-2946
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3461
 [04]	00306	00654	00695	00613	01000	01000		00066	-3293
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3260
 [04]	00306	00654	00695	00613	01000	01000		00048	-2851
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3262
 [04]	00306	00654	00695	00613	01000	01000		00047	-3069
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3070
 [04]	00306	00654	00695	00613	01000	01000		00050	-2902
 [04]	00306	00654	00695	00613	01000	01000		-0016	-2973
 [04]	00306	00654	00695	00613	01000	01000		00666	-2526
 [04]	00306	00654	00695	00613	01000	01000		-0017	-3011
 [04]	00306	00654	00695	00613	01000	01000		00065	-2786
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3423
 [04]	00306	00654	00695	00613	01000	01000		00048	-2662
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2813
 [04]	00306	00654	00695	00613	01000	01000		00046	-2567
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3235
 [04]	00306	00654	00695	00613	01000	01000		00050	-2674
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3139
 [04]	00306	00654	00695	00613	01000	01000		00666	-2864
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3518
 [04]	00306	00654	00695	00613	01000	01000		00066	-3189
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3323
 [04]	00306	00654	00695	00613	01000	01000		00048	-2785
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3320
 [04]	00306	00654	00695	00613	01000	01000		00047	-2971
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3139
 [04]	00306	00654	00695	00613	01000	01000		00050	-2827
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3033
 [04]	00306	00654	00695	00613	01000	01000		00666	-3106
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3376
 [04]	00306	00654	00695	00613	01000	01000		00065	-2725
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2844
 [04]	00306	00654	00695	00613	01000	01000		00048	-2954
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3172
 [04]	00306	00654	00695	00613	01000	01000		00046	-2507
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2669
 [04]	00306	00654	00695	00613	01000	01000		00049	-2333
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2564
 [04]	00306	00654	00695	00613	01000	01000		00666	-2506
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2957
 [04]	00306	00654	00695	00613	01000	01000		00065	-2824
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3379
 [04]	00306	00654	00695	00613	01000	01000		00048	-2717
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2748
 [04]	00306	00654	00695	00613	01000	01000		00046	-2595
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3195
 [04]	00306	00654	00695	00613	01000	01000		00050	-2743
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3103
 [04]	00306	00654	00695	00613	01000	01000		00666	-3014
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3448
 [04]	00306	00654	00695	00613	01000	01000		00065	-2674
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2947
 [04]	00306	00654	00695	00613	01000	01000		00048	-2885
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3243
 [04]	00306	00654	00695	00613	01000	01000		00046	-2452
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2767
 [04]	00306	00654	00695	00613	01000	01000		00049	-2291
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2677
 [04]	00306	00654	00695	00613	01000	01000		00666	-2469
 [04]	00306	00654	00695	00613	01000	01000		-0017	-3064
 [04]	00306	00654	00695	00613	01000	01000		00065	-2774
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3443
 [04]	00306	00654	00695	00613	01000	01000		00049	-3290
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3142
 [04]	00306	00654	00695	00613	01000	01000		00046	-2547
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3252
 [04]	00306	00654	00695	00613	01000	01000		00050	-2647
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3168
 [04]	00306	00654	00695	00613	01000	01000		00666	-2920
